 %1$S フォル	verboseFolderFormat, comp not found	%2$S の %1$S フォルダ	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	10488
 (マ	fk, comp not found	フォークランド (マルビナス) 諸島	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4639
アンインストール	Uninstall, comp found	アンインストールしています: %s	(n,vs) (comp) uninstall/	アンインストール	no comment	アンインストール [アンインストール] (n,vs) (comp) uninstall/<br>	firefox word found	5558
アンインストールしています: %s	Uninstall	self	Uninstalling: %s	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	5561
アンカー	MissingAnchorNameError, comp found	アンカー名を入力してください。	(n) (1) anchor/(2) (comp) link to previous post (e.g. in web forums)/(P)/	アンカー	no comment	アンカー [アンカー] (n) (1) anchor/(2) (comp) link to previous post (e.g. in web forums)/(P)/<br>	firefox word found	498
アンカー名を入力してください。	MissingAnchorNameError	self	Please enter a name for this anchor.	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	503
アング	ai, comp not found	アングイラ	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4483
アングイラ	ai	self	Anguilla	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	4484
アンゴ	ao, comp not found	アンゴラ	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4494
アンゴラ	ao	self	Angola	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	4495
アンダースコア	alphanumdash.error, comp found	未サポートの文字が含まれています。半角英数字と "-" (ハイフン)、"_" (アンダースコア) のみが使用可能です。	(n) underscore/	アンダースコア	no comment	アンダースコア [アンダースコア] (n) underscore/<br>	firefox word found	6486
アンティグア	ag, comp found	アンティグア バーブーダ	(n) Antigua/	アンティグア	no comment	アンティグア [アンティグア] (n) Antigua/<br>	firefox word found	4480
アンティグア バーブーダ	ag	self	Antigua and Barbuda	phrase, no reading now	no comment	バー [バー] (n) (1) bar/(2) VAR/(P)/<br>	firefox phrase	4482
アンド	ad, comp found	アンドラ	(n) ampersand sign/and/(P)/	アンド	no comment	アンド [アンド] (n) ampersand sign/and/(P)/<br>	firefox word found	4471
アンドラ	ad	self	Andorra	phrase, no reading now	no comment	アンド [アンド] (n) ampersand sign/and/(P)/<br>	firefox phrase	4472
アヴァル	av, comp not found	アヴァル語	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	3029
アヴァル語	av	self	Avaric	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	3030
アー	gloda.mimetype.category.archives.label, comp found	アーカイブ	(int) (1) (uk) Ah!/Oh!/Alas!/(2) Yes/Indeed/That is correct/(3) Hey!/Yo!/(4) Uh huh/Yeah yeah/Right/Gotcha/	アー	no comment	アー [アー] (int) (1) (uk) Ah!/Oh!/Alas!/(2) Yes/Indeed/That is correct/(3) Hey!/Yo!/(4) Uh huh/Yeah yeah/Right/Gotcha/<br>	firefox word found	8452
アーカイブ	gloda.mimetype.category.archives.label	self	Archives	phrase, no reading now	no comment	Χ [カイ] (n) chi/<br>χ [カイ] (n) chi/<br>	firefox phrase	8454
イエメン	ye	self	Yemen	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	5046
イスラエル	il	self	Israel	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	4719
イタリア	it, comp found	イタリア語	(n,adj-no) (uk) Italy/(P)/	イタリア	no comment	イタリア [イタリア] (n,adj-no) (uk) Italy/(P)/<br>	firefox word found	3172
イタリア語	it	self	Italian	phrase, no reading now	no comment	イタリア [イタリア] (n,adj-no) (uk) Italy/(P)/<br>	firefox phrase	3173
イディッシュ語	yi	self	Yiddish	phrase, no reading now	no comment	ディ [ディ] (n) day/(P)/<br>	firefox phrase	3415
イヌピアック語	ik	self	Inupiaq	phrase, no reading now	no comment	ピア [ピア] (n) (comp) peer/<br>	firefox phrase	3167
イベント	UseOfPreventBubbleWarning	self	Event	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	2573
イボ語	ig	self	Igbo	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	3162
イメージ	mmImageViewerOS2, comp found	イメージ・ビューアー	(n,vs) (1) (one's) image/(2) (comp) (computer) image/(3) artist's impression/(P)/	イメージ	no comment	イメージ [イメージ] (n,vs) (1) (one's) image/(2) (comp) (computer) image/(3) artist's impression/(P)/<br>	firefox word found	15452
イメージ・ビューアー	mmImageViewerOS2	self	Image Viewer	phrase, no reading now	no comment	ビューア [ビューア] (n) (comp) viewer/<br>	firefox phrase	15454
イラク	iq	self	Iraq	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	4729
イラン	ir	self	Iran	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	4730
イン	in, comp found	インド	(n) (1) in/(2) inn/(P)/	イン	no comment	イン [イン] (n) (1) in/(2) inn/(P)/<br>	firefox word found	4722
インク	iu, comp found	インクティテュット語	(n,adj-no) ink (dut: inkt)/(P)/	インク	no comment	インク [インク] (n,adj-no) ink (dut: inkt)/(P)/<br>	firefox word found	3174
インクティテュット語	iu	self	Inuktitut	phrase, no reading now	no comment	ティ [ティ] (n) tea/(P)/<br>	firefox phrase	3177
インスト	OK, comp found	インストール	(n) (abbr) instant/installation/instructions (e.g. briefings for market researchers)/	インスト	no comment	インスト [インスト] (n) (abbr) instant/installation/instructions (e.g. briefings for market researchers)/<br>	firefox word found	5594
インストール	unknownSocketType, comp found	このページを表示するにはパーソナルセキュリティマネージャ (PSM) が必要です。PSM をインストールしてから再度試すか、システム管理者に問い合わせてください。	(n,vs) install/	インストール	no comment	インストール [インストール] (n,vs) install/<br>	firefox word found	954
インストール (%S)	installButtonDisabledLabel	self	Install (%S)	phrase, no reading now	no comment	インストール [インストール] (n,vs) install/<br>	firefox phrase	17025
インストール: %S	installingPrefix	self	Installing: %S	phrase, no reading now	no comment	インストール [インストール] (n,vs) install/<br>	firefox phrase	16128
インストールされているアドオンの 1 個に更新があります	updateNotificationText	self	%S has found an update for 1 of your add-ons	phrase, no reading now	no comment	蟻 [あり] (n) ant/(P)/<br>在り [あり] (n,adj-no) (uk) existence (at the present moment)/<br>有り [あり] (n,adj-no) (uk) existence (at the present moment)/<br>	firefox phrase	15561
インストールされているアドオンの更新が見つかりました。	newUpdatesAvailableMsg	self	There are new updates available for your add-ons.	phrase, no reading now	no comment	真下 [ました] (n,adj-no) right under/directly below/<br>	firefox phrase	16090
インストールされているプラグイン	installedplugins_label	self	Installed plugins	phrase, no reading now	no comment	プラグ [プラグ] (n) plug/connector/(P)/<br>	firefox phrase	3946
インストールしています...	progress.installing	self	Installing…	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	5608
インストールしました: %S	statusSucceededFormat	self	Installed on: %S	phrase, no reading now	no comment	下 [した] (n) (1) below/down/under/(2) bottom/(3) beneath/underneath/(4) just after/right after/(5) inferiority/one's inferior (i.e. one's junior)/younger (e.g. of siblings)/(6) trade-in/(n-pref) (7) preliminary/preparatory/(P)/<br>舌 [した] (n) (1) tongue/(2) tongue-like object/clapper (of a bell)/talon (of a lock)/(P)/<br>簧 [した] (n) reed (of a woodwind, etc.)/<br>	firefox phrase	16790
インストールするテーマの選択	installThemePickerTitle	self	Select a theme to install	phrase, no reading now	no comment	選 [せん] (n) (1) selection/choice/election/(2) compilation/editing/(P)/<br>	firefox phrase	15936
インストールする拡張機能の選択	installExtensionPickerTitle	self	Select an extension to install	phrase, no reading now	no comment	選 [せん] (n) (1) selection/choice/election/(2) compilation/editing/(P)/<br>	firefox phrase	15941
インストールできませんでした	statusFailed	self	Install Failed	phrase, no reading now	no comment	弟子 [でし] (n,adj-no) pupil/disciple/adherent/follower/apprentice/young person/teacher's student-helper/(P)/<br>	firefox phrase	16795
インストールは完了していません	error-240	self	Unfinished install	phrase, no reading now	no comment	ませ [ませ] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	5707
インストールエラー	error_invalid_engine_title	self	Install Error	phrase, no reading now	no comment	インストール [インストール] (n,vs) install/<br>	firefox phrase	5102
インストールスクリプトが見つかりません	error-204	self	Install script not found	phrase, no reading now	no comment	ませ [ませ] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	5645
インストールパッケージが正しくありません	error-207	self	Not a valid install package	phrase, no reading now	no comment	ませ [ませ] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	5651
インストール中にエラーが発生しました	error-203	self	Error Installing Item	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	17050
インストール完了	installCompleteTitle	self	Installation Complete	phrase, no reading now	no comment	完 [かん] (n) The End (book, film, etc.)/Finis/<br>	firefox phrase	17044
インストール情報がありません	missingPackageFilesTitle	self	Missing Installation Files	phrase, no reading now	no comment	ませ [ませ] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	15894
インター	1024, comp found	インターネット	(n) (1) (abbr) interchange/(2) international/(P)/	インター	no comment	インター [インター] (n) (1) (abbr) interchange/(2) international/(P)/<br>	firefox word found	14051
インターネット	Titleline, comp found	インターネットセキュリティ	(n,adj-no) (comp) the Internet/(P)/	インターネット	no comment	インターネット [インターネット] (n,adj-no) (comp) the Internet/(P)/<br>	firefox word found	5119
インターネットセキュリティ	Titleline	self	Internet Security	phrase, no reading now	no comment	インターネット [インターネット] (n,adj-no) (comp) the Internet/(P)/<br>	firefox phrase	5121
インターネット接続	check_error-2152398878, comp found	更新サーバが見つかりませんでした (インターネット接続を確認してください)	(n) (comp) Internet connection/	インターネットせつぞく	no comment	インターネット接続 [インターネットせつぞく] (n) (comp) Internet connection/<br>	firefox word found	16943
インテル	ia, comp found	インテルリングア語	(n) (1) (comp) Intel (chip manufacturer)/(2) interline leads/(P)/	インテル	no comment	インテル [インテル] (n) (1) (comp) Intel (chip manufacturer)/(2) interline leads/(P)/<br>	firefox word found	3154
インテルリングア語	ia	self	Interlingua	phrase, no reading now	no comment	リング [リング] (n) ring/(P)/<br>	firefox phrase	3156
インテルリング語	ie	self	Interlingue	phrase, no reading now	no comment	リング [リング] (n) ring/(P)/<br>	firefox phrase	3161
インデックス	IsIndexPrompt, comp found	これは検索可能なインデックスです。検索キーワードを入力してください:	(n) index/indices/indexes/(P)/	インデックス	no comment	インデックス [インデックス] (n) index/indices/indexes/(P)/<br>	firefox word found	3435
インド	id, comp found	インドネシア	(n,adj-no) (uk) India/Hindustan/	インド	no comment	インド [インド] (n,adj-no) (uk) India/Hindustan/<br>	firefox word found	4714
インドネシア	id, comp found	インドネシア語	(n,adj-no) Indonesia/(P)/	インドネシア	no comment	インドネシア [インドネシア] (n,adj-no) Indonesia/(P)/<br>	firefox word found	3157
インドネシア語	id	self	Indonesian	phrase, no reading now	no comment	インドネシア [インドネシア] (n,adj-no) Indonesia/(P)/<br>	firefox phrase	3158
インポ	ImportModuleFolderName, comp found	%S インポート	(n) (abbr) impotence/	インポ	no comment	インポ [インポ] (n) (abbr) impotence/<br>	firefox word found	9508
インポート	2001, comp found	Mac OS X の Mail からローカルメールをインポートします	(n,vs) import/(P)/	インポート	no comment	インポート [インポート] (n,vs) import/(P)/<br>	firefox word found	7775
インポートされた証明書	P12DefaultNickname	self	Imported Certificate	phrase, no reading now	no comment	証明 [しょうめい] (n,vs,adj-no) proof/verification/(P)/<br>	firefox phrase	18119
インポートしたいローカルメールが含まれるプロファイルを選択してください:	profileText	self	Choose the profile that contains the Local Mail you want to import:	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	9521
インポートしたメール	DefaultFolderName	self	Imported Mail	phrase, no reading now	no comment	メー [メー] (n) bleat/baa (goat sound)/<br>	firefox phrase	9507
インポートする OPML ファイルを選んでください。	subscribe-OPMLImportTitle	self	Select OPML file to import	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	14365
インポートするアドレス帳が見つかりませんでした。選択したプログラムまたはフォーマットが正しくインストールされていることを確認してください。	ImportAddressNotFound	self	Unable to find any address books to import.  Check to make sure the selected application or format is correctly installed on this machine.	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	9421
インポートするメールボックスが見つかりませんでした。選択したプログラムが正しくインストールされているか確認してください。	ImportMailNotFound	self	Unable to find mail to import.  Check to make sure the mail application is correctly installed on this machine.	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	9372
インポートする設定が見つかりませんでした。選択したプログラムがインストールされているか確認してください。	ImportSettingsNotFound	self	Unable to find settings.  Check to make sure the application is installed on this machine.	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	9322
インポートスレッドを作成できないため、アドレス帳をインポートできません。	2002	self	Unable to import address books: cannot create import thread.	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	9109
インポートスレッドを作成できないため、メールボックスをインポートできません。	2006	self	Unable to import mailboxes, cannot create import thread	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	9142
インポート可能なアドレス帳がありません。	2000	self	No address books were found to import.	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	9090
インポート可能なメールボックスがありません。	2004	self	No mailboxes were found to import	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	9123
インライン	CantEditFramesetMsg, comp found	Composer では HTML のフレームセットやインラインフレームを含むページを編集できません。フレームセットを使用する場合、各フレームのページを個別に編集してください。インラインフレームを含むページについては、<iframe> タグを含まれるページ全体で置き換えてください。	(n,adj-no) (comp) in-line/	インライン	no comment	インライン [インライン] (n,adj-no) (comp) in-line/<br>	firefox word found	174
イード	io, comp found	イードー語	(n) Eid (Muslim festival) (ara:)/Id/	イード	no comment	イード [イード] (n) Eid (Muslim festival) (ara:)/Id/<br>	firefox word found	3168
イードー語	io	self	Ido	phrase, no reading now	no comment	イード [イード] (n) Eid (Muslim festival) (ara:)/Id/<br>	firefox phrase	3169
ゥンガ	ng, comp not found	ドゥンガ語	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	3263
ウィザー	accountWizard, comp found	アカウントウィザード	(vs) to wither/	ウィザー	no comment	ウィザー [ウィザー] (vs) to wither/<br>	firefox word found	13483
ウィザード	cancelWizard, comp found	アカウントウィザードを終了します。よろしいですか？\n\n入力した情報はすべて失われ、アカウントは作成されません。	(n) wizard/	ウィザード	no comment	ウィザード [ウィザード] (n) wizard/<br>	firefox word found	13467
ウィンドウ	Offline, comp found	現在オフラインです。ウィンドウの右下隅のアイコンをクリックするとオンラインに切り替わります。	(n) (1) (comp) window/(2) window (shop display)/(P)/	ウィンドウ	no comment	ウィンドウ [ウィンドウ] (n) (1) (comp) window/(2) window (shop display)/(P)/<br>	firefox word found	297
ウィンドウに表示中のコンテンツのホストと異なるホストのリソースを \njavascript: URL で読み込むことは、セキュリティ上の理由により禁止されています。	JSURLLoadBlockedWarning	self	Attempt to load a javascript: URL from one host\nin a window displaying content from another host\nwas blocked by the security manager.	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	2465
ウイグル	ug, comp found	ウイグル語	(n) (uk) Uighur (Turkic people and language in NW China)/Uygur/	ウイグル	no comment	ウイグル [ウイグル] (n) (uk) Uighur (Turkic people and language in NW China)/Uygur/<br>	firefox word found	3392
ウイグル語	ug	self	Uighur	phrase, no reading now	no comment	ウイグル [ウイグル] (n) (uk) Uighur (Turkic people and language in NW China)/Uygur/<br>	firefox phrase	3393
ウイルス	securityAlertMsg, comp found	警告！ 実行可能なファイルは、あなたのコンピューターを傷つけるウイルスあるいは他の悪意のあるコードを含んでいる可能性があります。このファイルを開く場合は十分に注意してください。 %S を実行してよろしいですか？	(n,adj-no) virus (lat:, ger:)/(P)/	ウイルス	no comment	ウイルス [ウイルス] (n,adj-no) virus (lat:, ger:)/(P)/<br>	firefox word found	3732
ウェー	oj, comp found	オジブウェー語	(n) way/	ウェー	no comment	ウェー [ウェー] (n) way/<br>	firefox word found	3286
ウェールズ	cy, comp found	ウェールズ語	(n) Wales/(P)/	ウェールズ	no comment	ウェールズ [ウェールズ] (n) Wales/(P)/<br>	firefox word found	3076
ウェールズ語	cy	self	Welsh	phrase, no reading now	no comment	ウェールズ [ウェールズ] (n) Wales/(P)/<br>	firefox phrase	3077
ウォ	wo, comp not found	ウォロフ語	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	3411
ウォロフ語	wo	self	Wolof	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	3412
ウォール	kw, comp found	コーンウォール語	(n) wall/	ウォール	no comment	ウォール [ウォール] (n) wall/<br>	firefox word found	3206
ウガンダ	ug	self	Uganda	phrase, no reading now	no comment	ガン [ガン] (n) gun/(P)/<br>	firefox phrase	5004
ウクライナ	x-mac-ukrainian.title, comp found	キリル文字/ウクライナ語 (MacUkrainian)	(n) Ukraine/(P)/	ウクライナ	no comment	ウクライナ [ウクライナ] (n) Ukraine/(P)/<br>	firefox word found	1307
ウクライナ語	uk	self	Ukrainian	phrase, no reading now	no comment	ウクライナ [ウクライナ] (n) Ukraine/(P)/<br>	firefox phrase	3395
ウズベ	uz, comp not found	ウズベキスタン	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	5015
ウズベキスタン	uz	self	Uzbekistan	phrase, no reading now	no comment	キス [キス] (n) (uk) sillago (any fish of genus Sillago, esp. the Japanese whiting, Sillago japonica)/<br>キス [キス] (n,vs) kiss/(P)/<br>	firefox phrase	5016
ウズベク	uz, comp not found	ウズベク語	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	3398
ウズベク語	uz	self	Uzbek	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	3399
ウル	ur, comp not found	ウルドゥー語	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	3396
ウルグア	uy, comp not found	ウルグアイ	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	5012
ウルグアイ	uy	self	Uruguay	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	5013
ウルドゥー語	ur	self	Urdu	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	3397
ェゴヴィ	ba, comp not found	ボスニア ヘルツェゴヴィナ	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4520
エイリアス	MacAlias, comp found	Mac エイリアス: %s	(n) alias/	エイリアス	no comment	エイリアス [エイリアス] (n) alias/<br>	firefox word found	5543
エウェ	ee, comp not found	エウェ語	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	3087
エウェ語	ee	self	Ewe	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	3088
エク	ec, comp not found	エクアドル	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4617
エクアドル	ec	self	Ecuador	phrase, no reading now	no comment	アド [アド] (n) (uk) secondary or supporting actor in a noh or kyogen play/<br>アド [アド] (n) ad/advertisement/(P)/<br>	firefox phrase	4618
エクスポ	ExportAddressBookTitle, comp found	アドレス帳のエクスポート	(n) expo/(international) exposition/	エクスポ	no comment	エクスポ [エクスポ] (n) expo/(international) exposition/<br>	firefox word found	7007
エクスポート	failedToExportTitle, comp found	エクスポートの失敗	(n,vs) export/	エクスポート	no comment	エクスポート [エクスポート] (n,vs) export/<br>	firefox word found	7017
エクスポートの失敗	failedToExportTitle	self	Export Failed	phrase, no reading now	no comment	エクスポート [エクスポート] (n,vs) export/<br>	firefox phrase	7019
エジプ	eg, comp not found	エジプト	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4621
エジプト	eg	self	Egypt	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	4622
エス	ee, comp found	エストニア	(n) (1) Jesus (lat:)/	エス	no comment	エス [エス] (n) (1) Jesus (lat:)/<br>	firefox word found	4619
エストニア	et, comp found	エストニア語	(n) Estonia/(P)/	エストニア	no comment	エストニア [エストニア] (n) Estonia/(P)/<br>	firefox word found	3097
エストニア語	et	self	Estonian	phrase, no reading now	no comment	エストニア [エストニア] (n) Estonia/(P)/<br>	firefox phrase	3098
エスペラント	eo, comp found	エスペラント語	(n) Esperanto (epo:)/	エスペラント	no comment	エスペラント [エスペラント] (n) Esperanto (epo:)/<br>	firefox word found	3093
エスペラント語	eo	self	Esperanto	phrase, no reading now	no comment	エスペラント [エスペラント] (n) Esperanto (epo:)/<br>	firefox phrase	3094
エチオピア	et	self	Ethiopia	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	4630
エメ	ye, comp not found	イエメン	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	5045
エラー	autoConfigMsg, comp found	Netscape.cfg/AutoConfig に失敗しました。システム管理者に問い合わせてください。\n エラー: %S に失敗しました:	(n) error/(P)/	エラー	no comment	エラー [エラー] (n) error/(P)/<br>	firefox word found	26
エラー:	typeError	self	Error:	phrase, no reading now	no comment	エラー [エラー] (n) error/(P)/<br>	firefox phrase	1497
エラーコード	errorAlertFormat, comp found	エラーコード %1$S: %2$S\n\n %3$S	(n) (comp) error code/	エラーコード	no comment	エラーコード [エラーコード] (n) (comp) error code/<br>	firefox word found	7154
エラーコード %1$S: %2$S\n\n %3$S	errorAlertFormat	self	Error code %1$S: %2$S\n\n %3$S	phrase, no reading now	no comment	エラーコード [エラーコード] (n) (comp) error code/<br>	firefox phrase	7155
エリ	TextArea, comp not found	テキストエリア	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	637
エリトリア	er	self	Eritrea	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	4626
エル	pr, comp found	プエルトリコ	(n) ell (unit of length, approx. 45 inches)/	エル	no comment	エル [エル] (n) ell (unit of length, approx. 45 inches)/<br>	firefox word found	4894
エルサルバドル	sv	self	El Salvador	phrase, no reading now	no comment	バド [バド] (n,vs) (abbr) badminton/<br>	firefox phrase	4958
エン	sj, comp not found	スバールバル諸島 ヤンマイエン島	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4937
エンコーディング	PECharsetRuleEOF, comp found	@charset ルールの文字エンコーディング名	(n) encoding/	エンコーディング	no comment	エンコーディング [エンコーディング] (n) encoding/<br>	firefox word found	1642
エンコード	83, comp found	エンコードエラー	(n) encode/	エンコード	no comment	エンコード [エンコード] (n) encode/<br>	firefox word found	17259
エンコードエラー	83	self	Encoding error	phrase, no reading now	no comment	エンコード [エンコード] (n) encode/<br>	firefox phrase	17260
エンドユーザ	eulaHeader, comp found	%S をインストールするには以下のエンドユーザライセンス契約に同意する必要があります:	(n) end user/	エンドユーザ	no comment	エンドユーザ [エンドユーザ] (n) end user/<br>	firefox word found	16100
エール	pm, comp found	サンピエール島 ミクロン島	(n) (1) yell/cheerleading shout/(2) ale/(P)/	エール	no comment	エール [エール] (n) (1) yell/cheerleading shout/(2) ale/(P)/<br>	firefox word found	4888
ォル	wpsDefaultOS2, comp not found	WPS デフォルト	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	15447
オク	oc, comp not found	オクシタン語	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	3283
オクシタン語	oc	self	Occitan	phrase, no reading now	no comment	タン [タン] (n) tongue/(P)/<br>	firefox phrase	3284
オジブウェー語	oj	self	Ojibwa	phrase, no reading now	no comment	ウェー [ウェー] (n) way/<br>	firefox phrase	3287
オセット語	os	self	Ossetian	phrase, no reading now	no comment	セット [セット] (n,vs) (1) set/(2) set meal/(P)/<br>	firefox phrase	3292
オピ	et, comp not found	エチオピア	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4629
オフ	browsewithcaret.checkLabel, comp found	F7 キーを押すとキャレットブラウズモードのオンとオフが切り替わります。このモードをオンにすると Web ページ中を移動可能なカーソル(キャレット)が表示され、キーボードでテキストを選択できるようになります。キャレットブラウズモードをオンにしますか？	(n) off/(P)/	オフ	no comment	オフ [オフ] (n) off/(P)/<br>	firefox word found	1186
オフセット	61, comp found	検索結果がオフセットで指定できる範囲を超えています	(n) offset/	オフセット	no comment	オフセット [オフセット] (n) offset/<br>	firefox word found	17204
オフライン	Offline, comp found	現在オフラインです。ウィンドウの右下隅のアイコンをクリックするとオンラインに切り替わります。	(n) off-line/	オフライン	no comment	オフライン [オフライン] (n) off-line/<br>	firefox word found	295
オフラインでも読めるようにメッセージをダウンロードしますか？	downloadMessagesLabel1	self	Do you want to download messages for offline use before going offline?	phrase, no reading now	no comment	すか [すか] (n) (1) nonsense/(2) loss (on scratch lottery tickets, etc.)/<br>	firefox phrase	12992
オフラインで使用するニュースグループの記事をダウンロードしています	downloadingNewsgroups	self	Downloading Newsgroups for Offline Use	phrase, no reading now	no comment	使丁 [してい] (n) servant/janitor/messenger/<br>姉弟 [してい] (n) older sister and younger brother/<br>子弟 [してい] (n) young(er) people/(P)/<br>師弟 [してい] (n) teacher and student/(P)/<br>指定 [してい] (n,vs) designation/specification/assignment/appointment/pointing at/(P)/<br>私邸 [してい] (n) private residence/(P)/<br>	firefox phrase	10129
オフラインで使用するメールをダウンロードしています	downloadingMail	self	Downloading Mail for Offline Use	phrase, no reading now	no comment	使丁 [してい] (n) servant/janitor/messenger/<br>姉弟 [してい] (n) older sister and younger brother/<br>子弟 [してい] (n) young(er) people/(P)/<br>師弟 [してい] (n) teacher and student/(P)/<br>指定 [してい] (n,vs) designation/specification/assignment/appointment/pointing at/(P)/<br>私邸 [してい] (n) private residence/(P)/<br>	firefox phrase	10136
オフラインにする	workOffline	self	Work Offline	phrase, no reading now	no comment	オフライン [オフライン] (n) off-line/<br>	firefox phrase	13082
オフラインに切り替えるときは毎回確認する	downloadMessagesCheckboxLabel1	self	Always ask me when I go offline	phrase, no reading now	no comment	確認 [かくにん] (n,vs) affirmation/confirmation/validation/(P)/<br>	firefox phrase	12998
